,month,day,Date,Class,Lat,Lon,Max wind,Min pres,SST,UWND,VWND,rhum,airtemp,key,year,distance,direction,gridID
0,6,2,1200, TD,21.7,87.1,20,1005,27.51,-4.149993896,1.580001831,78.38000488,300.0800171,            ALBERTO1982,1982,0,0,1918
1,6,2,1800, TD,22.2,86.5,25,1004,28.15,-4.149993896,1.580001831,78.38000488,300.0800171,            ALBERTO1982,1982,51.69074084,146.1905483,2040
2,6,3,0, TD,22.6,85.8,30,1003,27.47,-1.160003662,7.429992676,82.72999573,300.3999939,            ALBERTO1982,1982,52.56740436,110.7303357,2040
3,6,3,600, TS,22.8,85,40,1001,27,-1.160003662,7.429992676,82.72999573,300.3999939,            ALBERTO1982,1982,52.83215813,38.27961537,2039
4,6,3,1200, TS,23.2,84.2,50,995,26.99,-1.160003662,7.429992676,82.72999573,300.3999939,            ALBERTO1982,1982,57.90201639,15.70360607,2161
5,6,3,1800, HU,24,83.6,75,985,26.99,-1.150009155,8.75,84.33000183,299.4599915,            ALBERTO1982,1982,67.07015104,265.1114714,2160
6,6,4,0, HU,24.8,83.4,65,992,27.49,-0.380004883,6.339996338,84.47000122,299.2799988,            ALBERTO1982,1982,56.68915936,192.2050332,2283
7,6,4,600, TS,24.9,84.1,55,998,27.699999,-1.729995728,1.770004272,78.19999695,299.539978,            ALBERTO1982,1982,44.42779234,117.0048008,2284
8,6,4,1200, TS,24.9,84.8,45,1002,26.57,-1.729995728,1.770004272,78.19999695,299.539978,            ALBERTO1982,1982,43.86949387,71.1941527,2285
9,6,4,1800, TS,25,84.2,40,1005,27.55,-1.729995728,1.770004272,78.19999695,299.539978,            ALBERTO1982,1982,38.21694805,236.5428145,2284
10,6,5,0, TD,25.1,84.1,30,1007,27.14,0.490005493,0.619995117,78.99000549,300.6900024,            ALBERTO1982,1982,9.323067126,188.9517945,2284
11,6,5,600, TD,25.2,84,25,1008,27.099998,0.490005493,0.619995117,78.99000549,300.6900024,            ALBERTO1982,1982,9.319633417,187.337137,2407
